gid0,species_pct,species_included,cumarea,totparea,cmbparea,totarea,parea_pct,bname,cname,tcmbparea,cname0,unregion2,wbincomegroup
AFG,0,0,83.3501708719157,55077.760854909,55161.1110257809,641815.882919749,8.59453816799328,Afghanistan_AFG,Afghanistan,55161.1110257809,Afghanistan,Asia,Low income
AFG,5,2,818.773716663993,55077.760854909,55896.534571573,641815.882919749,8.709122983571,Afghanistan_AFG,Afghanistan,55896.534571573,Afghanistan,Asia,Low income
AFG,10,3,945.559077261215,55077.760854909,56023.3199321702,641815.882919749,8.72887714733841,Afghanistan_AFG,Afghanistan,56023.3199321702,Afghanistan,Asia,Low income
AFG,15,5,1184.71052023286,55077.760854909,56262.4713751419,641815.882919749,8.76613883707468,Afghanistan_AFG,Afghanistan,56262.4713751419,Afghanistan,Asia,Low income
AFG,20,6,1755.68676271014,55077.760854909,56833.4476176191,641815.882919749,8.85510145979441,Afghanistan_AFG,Afghanistan,56833.4476176191,Afghanistan,Asia,Low income
AFG,25,8,2447.86423197451,55077.760854909,57525.6250868835,641815.882919749,8.96294819398796,Afghanistan_AFG,Afghanistan,57525.6250868835,Afghanistan,Asia,Low income
AFG,30,9,3804.9779957058,55077.760854909,58882.7388506148,641815.882919749,9.17439727149559,Afghanistan_AFG,Afghanistan,58882.7388506148,Afghanistan,Asia,Low income
AFG,35,11,4436.67543110788,55077.760854909,59514.4362860169,641815.882919749,9.27282073719862,Afghanistan_AFG,Afghanistan,59514.4362860169,Afghanistan,Asia,Low income
AFG,40,12,4876.9668485362,55077.760854909,59954.7277034452,641815.882919749,9.34142162869188,Afghanistan_AFG,Afghanistan,59954.7277034452,Afghanistan,Asia,Low income
AFG,45,14,5227.4188548292,55077.760854909,60305.1797097382,641815.882919749,9.39602482808588,Afghanistan_AFG,Afghanistan,60305.1797097382,Afghanistan,Asia,Low income
AFG,50,15,5524.64286780897,55077.760854909,60602.403722718,641815.882919749,9.4423346843686,Afghanistan_AFG,Afghanistan,60602.403722718,Afghanistan,Asia,Low income
AFG,55,16,5724.46808236695,55077.760854909,60802.228937276,641815.882919749,9.47346903611585,Afghanistan_AFG,Afghanistan,60802.228937276,Afghanistan,Asia,Low income
AFG,60,18,5836.19110423028,55077.760854909,60913.9519591393,641815.882919749,9.49087636816177,Afghanistan_AFG,Afghanistan,60913.9519591393,Afghanistan,Asia,Low income
AFG,65,19,5944.89738638268,55077.760854909,61022.6582412917,641815.882919749,9.50781366825754,Afghanistan_AFG,Afghanistan,61022.6582412917,Afghanistan,Asia,Low income
AFG,70,21,6060.69163624327,55077.760854909,61138.4524911523,641815.882919749,9.5258553298839,Afghanistan_AFG,Afghanistan,61138.4524911523,Afghanistan,Asia,Low income
AFG,75,22,6151.19759115915,55077.760854909,61228.9584460681,641815.882919749,9.53995687478554,Afghanistan_AFG,Afghanistan,61228.9584460681,Afghanistan,Asia,Low income
AFG,80,24,6230.08772288935,55077.760854909,61307.8485777984,641815.882919749,9.55224858239667,Afghanistan_AFG,Afghanistan,61307.8485777984,Afghanistan,Asia,Low income
AFG,85,25,6512.42099268201,55077.760854909,61590.181847591,641815.882919749,9.59623834290372,Afghanistan_AFG,Afghanistan,61590.181847591,Afghanistan,Asia,Low income
AFG,90,27,6625.44414676532,55077.760854909,61703.2050016743,641815.882919749,9.61384824585114,Afghanistan_AFG,Afghanistan,61703.2050016743,Afghanistan,Asia,Low income
AFG,95,28,6787.55654877476,55077.760854909,61865.3174036838,641815.882919749,9.63910664258511,Afghanistan_AFG,Afghanistan,61865.3174036838,Afghanistan,Asia,Low income
AFG,100,29,6887.27047103884,55077.760854909,61965.0313259479,641815.882919749,9.65464286175913,Afghanistan_AFG,Afghanistan,61965.0313259479,Afghanistan,Asia,Low income
AGO,0,0,0,147498.985421561,147498.985421561,1246594.83885415,11.8321511387886,Angola_AGO,Angola,147498.985421561,Angola,Africa,Lower middle income
AGO,5,6,1697.4669376673,147498.985421561,149196.452359228,1246594.83885415,11.9683194337919,Angola_AGO,Angola,149196.452359228,Angola,Africa,Lower middle income
AGO,10,11,3394.9338753346,147498.985421561,150893.919296896,1246594.83885415,12.1044877287953,Angola_AGO,Angola,150893.919296896,Angola,Africa,Lower middle income
AGO,15,16,5063.85480974464,147498.985421561,152562.840231306,1246594.83885415,12.2383661055054,Angola_AGO,Angola,152562.840231306,Angola,Africa,Lower middle income
AGO,20,21,7831.99906730657,147498.985421561,155330.984488868,1246594.83885415,12.4604225565097,Angola_AGO,Angola,155330.984488868,Angola,Africa,Lower middle income
AGO,25,26,9210.09201426383,147498.985421561,156709.077435825,1246594.83885415,12.5709711408616,Angola_AGO,Angola,156709.077435825,Angola,Africa,Lower middle income
AGO,30,31,13004.1803359533,147498.985421561,160503.165757514,1246594.83885415,12.8753273120436,Angola_AGO,Angola,160503.165757514,Angola,Africa,Lower middle income
AGO,35,37,14306.3937462318,147498.985421561,161805.379167793,1246594.83885415,12.9797889518396,Angola_AGO,Angola,161805.379167793,Angola,Africa,Lower middle income
AGO,40,42,14889.5155009746,147498.985421561,162388.500922536,1246594.83885415,13.0265661192534,Angola_AGO,Angola,162388.500922536,Angola,Africa,Lower middle income
AGO,45,47,15821.2631272796,147498.985421561,163320.248548841,1246594.83885415,13.1013095400718,Angola_AGO,Angola,163320.248548841,Angola,Africa,Lower middle income
AGO,50,52,16838.3093126049,147498.985421561,164337.294734166,1246594.83885415,13.182895485531,Angola_AGO,Angola,164337.294734166,Angola,Africa,Lower middle income
AGO,55,57,21015.3345722578,147498.985421561,168514.319993819,1246594.83885415,13.5179702932763,Angola_AGO,Angola,168514.319993819,Angola,Africa,Lower middle income
AGO,60,62,25916.5881092863,147498.985421561,173415.573530847,1246594.83885415,13.9111416256342,Angola_AGO,Angola,173415.573530847,Angola,Africa,Lower middle income
AGO,65,67,28277.0505798461,147498.985421561,175776.036001407,1246594.83885415,14.100494444769,Angola_AGO,Angola,175776.036001407,Angola,Africa,Lower middle income
AGO,70,73,29528.8294368451,147498.985421561,177027.814858406,1246594.83885415,14.2009102990613,Angola_AGO,Angola,177027.814858406,Angola,Africa,Lower middle income
